Season,Team,WinPercent
A,501,0
A,502,0.083333333
A,503,0.08
A,504,0.592592593
A,505,0
A,506,0.291666667
A,507,0
A,508,0.347826087
A,509,0.423076923
A,510,0.230769231
A,511,0.8
A,512,0.407407407
A,513,0.777777778
A,514,0
A,515,0.6
A,516,0.307692308
A,517,0.166666667
A,518,0.6
A,519,0.62962963
A,520,0.571428571
A,521,0.32
A,522,0
A,523,0.347826087
A,524,0
A,525,0
A,526,0.538461538
A,527,0.642857143
A,528,0.620689655
A,529,0.48
A,530,0.75862069
A,531,0.384615385
A,532,0
A,533,0.576923077
A,534,0.464285714
A,535,0.692307692
A,536,0.535714286
A,537,0.166666667
A,538,0.48
A,539,0.62962963
A,540,0.576923077
A,541,0.655172414
A,542,0
A,543,0.36
A,544,0.444444444
A,545,0.5
A,546,0.482758621
A,547,0.52
A,548,0.074074074
A,549,0.862068966
A,550,0.304347826
A,551,0.642857143
A,552,0.192307692
A,553,0.125
A,554,0.88
A,555,0.517241379
A,556,0.333333333
A,557,0.592592593
A,558,0.24
A,559,0.9375
A,560,0.62962963
A,561,0.384615385
A,562,0.464285714
A,563,0
A,564,0.230769231
A,565,0.25
A,566,0.2
A,567,0.6
A,568,0.846153846
A,569,0.517241379
A,570,0.52
A,571,0.37037037
A,572,0
A,573,0.379310345
A,574,0.607142857
A,575,0.444444444
A,576,0.892857143
A,577,0.6
A,578,0.333333333
A,579,0.444444444
A,580,0.44
A,581,0.814814815
A,582,0.041666667
A,583,0.592592593
A,584,0
A,585,0
A,586,0.2
A,587,0.481481481
A,588,0.259259259
A,589,0.689655172
A,590,0.307692308
A,591,0
A,592,0.428571429
A,593,0.208333333
A,594,0.423076923
A,595,0.481481481
A,596,0.148148148
A,597,0.655172414
A,598,0.291666667
A,599,0.75
A,600,0.08
A,601,0
A,602,0.384615385
A,603,0.774193548
A,604,0.678571429
A,605,0.4
A,606,0.666666667
A,607,0.703703704
A,608,0.384615385
A,609,0
A,610,0.291666667
A,611,0.214285714
A,612,0.56
A,613,0.357142857
A,614,0
A,615,0.307692308
A,616,0.551724138
A,617,0.6
A,618,0
A,619,0.269230769
A,620,0.384615385
A,621,0.375
A,622,0.333333333
A,623,0.6
A,624,0.633333333
A,625,0.620689655
A,626,0.384615385
A,627,0.75
A,628,0.733333333
A,629,0.733333333
A,630,0
A,631,0
A,632,0.518518519
A,633,0.535714286
A,634,0.32
A,635,0.333333333
A,636,0.862068966
A,637,0.592592593
A,638,0
A,639,0.5
A,640,0.933333333
A,641,0.2
A,642,0.28
A,643,0.4
A,644,0.115384615
A,645,0.555555556
A,646,0
A,647,0.592592593
A,648,0.296296296
A,649,0
A,650,0.37037037
A,651,0.633333333
A,652,0.592592593
A,653,0.423076923
A,654,0.269230769
A,655,0.392857143
A,656,0
A,657,0.535714286
A,658,0.607142857
A,659,0.785714286
A,660,0.75862069
A,661,0.592592593
A,662,0.586206897
A,663,0.96875
A,664,0.555555556
A,665,0.36
A,666,0.75862069
A,667,0.481481481
A,668,0.535714286
A,669,0.740740741
A,670,0.64516129
A,671,0.482758621
A,672,0.52
A,673,0.6
A,674,0.423076923
A,675,0.75862069
A,676,0.548387097
A,677,0.444444444
A,678,0.571428571
A,679,0.689655172
A,680,0.68
A,681,0.703703704
A,682,0.130434783
A,683,0.259259259
A,684,0
A,685,0.75
A,686,0.75
A,687,0.64
A,688,0
A,689,0
A,690,0.678571429
A,691,0
